INFO:2021-12-07 10:27:16,540:model checks are done
INFO:2021-12-07 10:27:25,107:Missing value treatment done.
INFO:2021-12-07 10:43:16,654:model checks are done
INFO:2021-12-07 10:43:25,759:Missing value treatment done.
INFO:2021-12-07 11:06:58,315:model checks are done
INFO:2021-12-07 11:07:07,000:Missing value treatment done.
INFO:2021-12-07 11:09:29,870:model checks are done
INFO:2021-12-07 11:09:37,621:Missing value treatment done.
INFO:2021-12-07 11:13:59,243:model checks are done
INFO:2021-12-07 11:14:07,232:Missing value treatment done.
INFO:2021-12-07 11:16:18,033:model checks are done
INFO:2021-12-07 11:16:25,699:Missing value treatment done.
INFO:2021-12-07 16:39:40,542:model checks are done
INFO:2021-12-07 16:39:48,335:Missing value treatment done.
INFO:2021-12-07 17:36:25,121:model checks are done
INFO:2021-12-07 17:36:30,827:Missing value treatment done.
INFO:2021-12-07 17:56:24,861:model checks are done
INFO:2021-12-07 17:56:31,316:Missing value treatment done.
INFO:2021-12-07 18:16:22,874:model checks are done
INFO:2021-12-07 18:16:27,944:Missing value treatment done.
INFO:2021-12-07 18:27:36,056:model checks are done
INFO:2021-12-07 18:27:41,099:Missing value treatment done.
INFO:2021-12-07 18:48:30,369:model checks are done
INFO:2021-12-07 18:48:35,653:Missing value treatment done.
INFO:2021-12-07 19:06:48,555:model checks are done
INFO:2021-12-07 19:06:55,054:Missing value treatment done.
INFO:2021-12-08 09:47:44,419:model checks are done
INFO:2021-12-08 09:47:50,385:Missing value treatment done.
INFO:2021-12-08 10:09:30,798:model checks are done
INFO:2021-12-08 10:09:35,645:Missing value treatment done.
INFO:2021-12-08 10:11:29,767:model checks are done
INFO:2021-12-08 10:11:34,735:Missing value treatment done.
INFO:2021-12-08 10:53:42,964:model checks are done
INFO:2021-12-08 10:53:47,675:Missing value treatment done.
INFO:2021-12-08 11:22:34,106:model checks are done
INFO:2021-12-08 11:22:38,758:Missing value treatment done.
INFO:2021-12-08 11:32:21,020:model checks are done
INFO:2021-12-08 11:32:26,476:Missing value treatment done.
INFO:2021-12-08 11:43:21,674:model checks are done
INFO:2021-12-08 11:43:27,100:Missing value treatment done.
INFO:2021-12-08 11:55:01,978:model checks are done
INFO:2021-12-08 11:55:07,840:Missing value treatment done.
INFO:2021-12-08 11:56:39,653:model checks are done
INFO:2021-12-08 11:56:45,142:Missing value treatment done.
INFO:2021-12-08 12:00:12,356:model checks are done
INFO:2021-12-08 12:00:17,070:Missing value treatment done.
INFO:2021-12-08 12:14:35,090:model checks are done
INFO:2021-12-08 12:14:40,338:Missing value treatment done.
INFO:2021-12-08 12:20:58,680:model checks are done
INFO:2021-12-08 12:21:03,817:Missing value treatment done.
INFO:2021-12-08 12:23:39,607:model checks are done
INFO:2021-12-08 12:23:44,770:Missing value treatment done.
INFO:2021-12-08 12:25:05,748:model checks are done
INFO:2021-12-08 12:25:10,592:Missing value treatment done.
INFO:2021-12-08 12:35:22,087:model checks are done
INFO:2021-12-08 12:35:28,407:Missing value treatment done.
INFO:2021-12-08 16:19:02,445:model checks are done
INFO:2021-12-08 16:19:02,576:NumExpr defaulting to 4 threads.
INFO:2021-12-08 16:19:07,532:Missing value treatment done.
INFO:2021-12-08 16:29:36,448:model checks are done
INFO:2021-12-08 16:29:41,412:Missing value treatment done.
INFO:2021-12-08 16:43:56,178:model checks are done
INFO:2021-12-08 16:44:02,915:Missing value treatment done.
INFO:2021-12-08 16:54:24,361:model checks are done
INFO:2021-12-08 16:54:30,716:Missing value treatment done.
INFO:2021-12-08 16:59:54,870:model checks are done
INFO:2021-12-08 17:00:01,829:Missing value treatment done.
INFO:2021-12-08 17:01:50,203:model checks are done
INFO:2021-12-08 17:01:57,021:Missing value treatment done.
INFO:2021-12-08 17:07:09,981:model checks are done
INFO:2021-12-08 17:07:16,701:Missing value treatment done.
INFO:2021-12-08 17:12:49,772:model checks are done
INFO:2021-12-08 17:12:55,367:Missing value treatment done.
INFO:2021-12-08 17:24:11,481:model checks are done
INFO:2021-12-08 17:24:19,399:Missing value treatment done.
INFO:2021-12-08 17:38:53,925:model checks are done
INFO:2021-12-08 17:38:58,877:Missing value treatment done.
INFO:2021-12-08 17:42:21,676:model checks are done
INFO:2021-12-08 17:42:26,588:Missing value treatment done.
INFO:2021-12-08 17:46:43,511:model checks are done
INFO:2021-12-08 17:46:49,185:Missing value treatment done.
INFO:2021-12-08 18:00:47,659:model checks are done
INFO:2021-12-08 18:00:53,021:Missing value treatment done.
